# Station list for La Habra
# From Fabio, 07/02/20
# Swap column 1 and 3 from la_habra_v20_07_1.stl
# StationId Lon Lat Vs30(m/s) HP_Freq(Hz) LP_Freq(Hz)
CE_23075 -117.03520 34.04640 440.00 0.1250 8.0000
CE_23077 -117.69760 34.05740 321.00 0.1250 8.0000
CE_23084 -117.31200 34.03280 458.00 0.1250 8.0000
CE_23089 -117.68060 34.11250 381.00 0.1250 8.0000
CE_23090 -117.59780 34.13390 377.00 0.1250 8.0000
CE_23091 -117.51060 34.01360 881.00 0.1250 8.0000
CE_23138 -117.45400 34.12470 356.00 0.1250 8.0000
CE_23163 -117.53980 34.12290 377.00 0.1250 8.0000
CE_23164 -117.15530 34.02620 406.00 0.1250 8.0000
CE_23173 -117.81430 34.00180 402.00 0.1250 8.0000
CE_23177 -117.96710 34.14060 388.00 0.1250 8.0000
CE_23178 -117.91080 34.13210 340.00 0.1250 8.0000
CE_23179 -117.90600 34.09590 321.00 0.1250 8.0000
CE_23292 -117.54440 34.42570 378.00 0.1250 8.0000
CE_23327 -117.81010 34.09220 441.00 0.1250 8.0000
CE_23417 -117.60730 34.03330 386.00 0.2125 8.0000
CE_23525 -117.74870 34.05640 287.00 0.1250 8.0000
CE_23542 -117.29280 34.06560 342.00 0.1250 8.0000
CE_23773 -117.98460 34.06670 294.00 0.1250 8.0000
CE_23774 -117.93820 34.07320 325.00 0.1250 8.0000
CE_23780 -117.28720 34.09640 335.00 0.1250 8.0000
CE_23836 -117.85120 34.11360 416.00 0.1250 8.0000
CE_23842 -117.93540 33.99980 321.00 0.1250 8.0000
CE_23843 -117.95120 34.03630 354.00 0.1250 8.0000
CE_23895 -117.67050 34.07630 356.00 0.1250 8.0000
CE_23897 -117.25280 34.13320 584.00 0.1250 8.0000
CE_23898 -117.32230 34.13500 352.00 0.1250 8.0000
CE_23899 -117.39810 34.06920 348.00 0.1250 8.0000
CE_23938 -117.86570 34.02090 402.00 0.1250 8.0000
CE_23939 -117.73820 34.12110 385.00 0.1250 8.0000
CE_23940 -117.74520 34.09570 356.00 0.1250 8.0000
CE_23958 -117.64660 34.43930 423.00 0.1250 8.0000
CE_24010 -118.23310 34.20760 415.00 0.1250 8.0000
CE_24020 -118.21760 34.07520 426.00 0.1250 8.0000
CE_24022 -118.13270 34.15500 427.00 0.1250 8.0000
CE_24023 -118.15020 34.16550 450.00 0.1250 8.0000
CE_24025 -118.12960 34.04080 423.00 0.1250 8.0000
CE_24029 -118.10010 34.10350 369.00 0.1250 8.0000
CE_24030 -118.13060 34.09710 422.00 0.1250 8.0000
CE_24033 -118.10060 34.08410 401.00 0.1250 8.0000
CE_24034 -118.23010 34.02550 293.00 0.1250 8.0000
CE_24039 -118.28700 34.00400 293.00 0.1250 8.0000
CE_24040 -118.20780 34.03120 364.00 0.1250 8.0000
CE_24109 -118.15410 34.10810 451.00 0.1250 8.0000
CE_24110 -118.05780 34.10860 347.00 0.1250 8.0000
CE_24114 -118.04190 34.07530 319.00 0.1250 8.0000
CE_24157 -118.36210 34.00830 291.00 0.1250 8.0000
CE_24289 -118.25230 34.05550 342.00 0.1250 8.0000
CE_24399 -118.05820 34.22360 483.00 0.1250 8.0000
CE_24461 -118.15090 34.07050 550.00 0.1250 8.0000
CE_24592 -118.17170 34.05330 365.00 0.1250 8.0000
CE_24611 -118.24660 34.05910 392.00 0.1250 8.0000
CE_24612 -118.27230 34.04280 352.00 0.1250 8.0000
CE_24691 -118.15090 34.14910 431.00 0.3750 8.0000
CE_24806 -118.57140 34.22180 321.00 0.1250 8.0000
CE_24811 -118.30810 34.08380 340.00 0.1250 8.0000
CE_24814 -118.21090 34.13960 452.00 0.1250 8.0000
CE_24833 -118.31560 34.06270 340.00 0.1250 8.0000
CE_24838 -118.26420 34.03730 327.00 0.1250 8.0000
CE_24839 -118.25220 34.05820 360.00 0.1250 8.0000
CE_24841 -118.07830 34.00140 280.00 0.1250 8.0000
CE_24850 -118.01920 34.03180 415.00 0.1250 8.0000
CE_24851 -118.34640 34.06950 424.00 0.1250 8.0000
CE_24852 -118.28530 34.02450 293.00 0.1250 8.0000
CE_24853 -118.28650 34.07740 424.00 0.1250 8.0000
CE_24941 -118.14680 34.01740 359.00 0.1250 8.0000
CE_24945 -118.25540 34.16320 377.00 0.1250 8.0000
CE_24977 -118.24780 34.04110 320.00 0.1250 8.0000
CE_24980 -118.27390 34.05570 400.00 0.1250 8.0000
CE_24982 -118.28780 34.10030 402.00 0.1250 8.0000
CE_24983 -118.38400 34.05070 321.00 0.1250 8.0000
CE_24984 -118.32510 34.02130 293.00 0.1250 8.0000
CE_24987 -118.25700 34.01250 293.00 0.1250 8.0000
CI_BBS -116.98058 33.92139 341.00 0.1250 8.0000
CI_BFS -117.65853 34.23883 500.00 0.1250 8.0000
CI_BHP -118.36171 33.99053 299.00 0.1250 8.0000
CI_BRE -117.98116 33.80776 238.00 0.1250 8.0000
CI_CAC -118.12200 34.13700 399.00 0.1250 8.0000
CI_CFS -117.28287 34.10539 326.00 0.1250 8.0000
CI_CFT -117.11241 34.03547 422.00 0.1250 8.0000
CI_CHN -117.68044 33.99879 292.00 0.1250 8.0000
CI_CJM -117.42448 34.27117 472.00 0.1250 8.0000
CI_CLT -117.31687 34.09284 306.00 0.1250 8.0000
CI_CRN -117.56106 33.87574 367.00 0.1250 8.0000
CI_DLA -118.09624 33.84822 234.00 0.1250 8.0000
CI_FON -117.43876 34.09957 404.00 0.1250 8.0000
CI_FUL -117.92251 33.87170 309.00 0.1250 8.0000
CI_GSA -118.12830 34.13677 325.00 0.1250 8.0000
CI_GVR -118.11995 34.04972 402.00 0.1250 8.0000
CI_HLN -117.21897 34.12128 348.00 0.1250 8.0000
CI_IPT -117.28498 34.19701 297.00 0.1250 8.0000
CI_KIK -118.10156 34.15037 384.00 0.1250 8.0000
CI_LAF -118.33143 33.86889 257.00 0.1250 8.0000
CI_LBW1 -118.08837 33.79800 300.00 0.1250 8.0000
CI_LCG -118.37794 34.00033 312.00 0.1250 8.0000
CI_LGB -118.14918 33.97530 353.00 0.1250 8.0000
CI_LLS -117.94304 33.68447 220.00 0.1250 8.0000
CI_LPC -117.54642 34.31478 514.00 0.1250 8.0000
CI_LTP -118.17568 33.88110 259.00 0.1250 8.0000
CI_LUG -117.36683 34.36560 371.00 0.1250 8.0000
CI_MLS -117.56162 34.00460 337.00 0.1250 8.0000
CI_MWC -118.05832 34.22362 655.00 0.1250 8.0000
CI_NOT -118.55829 34.22869 319.00 0.1250 8.0000
CI_OGC -117.84400 33.78816 373.00 0.1250 8.0000
CI_OLI -117.92372 33.94539 328.00 0.1250 8.0000
CI_PDR -118.43702 33.96273 322.00 0.1250 8.0000
CI_PDU -117.63808 34.12070 423.00 0.1250 8.0000
CI_PER -117.20529 33.86164 563.00 0.3750 8.0000
CI_PLS -117.60906 33.79530 699.00 0.1250 8.0000
CI_PSR -117.80709 34.09181 772.00 0.1250 8.0000
CI_Q0000 -118.11500 34.18800 419.00 0.1250 8.0000
CI_Q0001 -118.03000 34.14900 387.00 0.1250 8.0000
CI_Q0002 -118.39900 34.07200 321.00 0.1625 8.0000
CI_Q0005 -117.76800 33.52800 435.00 0.1250 8.0000
CI_Q0009 -117.70500 33.60500 365.00 0.1250 8.0000
