CS_Short_Name CS_Site_Lon CS_Site_Lat Run_ID
s365 -118.32216 33.95328 4528
s366 -118.29578 33.99265 4529
s378 -117.9773 34.46461 4530
s380 -117.92388 34.54319 4531
s383 -118.38029 33.77382 4532
s385 -118.32766 33.85257 4533
s387 -118.27493 33.9313 4534
s388 -118.24853 33.97065 4535
s389 -118.22211 34.01 4536
s391 -118.16919 34.08869 4537
s393 -118.11618 34.16735 4538
s395 -118.06307 34.24599 4539
s397 -118.00986 34.32461 4540
s399 -117.95656 34.40321 4541
s401 -117.90315 34.48178 4542
s403 -117.84965 34.56033 4543
s410 -118.20131 33.94864 4544
s424 -117.82897 34.49891 4545
s427 -118.28602 33.72987 4546
s429 -118.23333 33.80858 4288
s431 -118.18054 33.88727 4547
s433 -118.12766 33.96594 4548
s435 -118.07468 34.04458 4549
s437 -118.02161 34.12321 4550
s439 -117.96843 34.20181 4551
s441 -117.91516 34.28039 4552
s443 -117.8618 34.35895 4553
s445 -117.80833 34.43748 4554
s447 -117.75476 34.51599 4555
s451 -118.15981 33.8259 4556
s453 -118.10694 33.90456 4557
s465 -117.78771 34.37605 4558
s467 -117.73417 34.45455 4559
s470 -118.1391 33.76452 4560
s472 -118.08625 33.84317 4561
s474 -118.03331 33.9218 4562
s476 -117.98027 34.00041 4563
s478 -117.92713 34.07899 4564
s480 -117.87389 34.15755 4565
s482 -117.82056 34.23609 4566
s484 -117.76713 34.31461 4567
s486 -117.7136 34.3931 4568
s488 -117.65998 34.47157 4569
s491 -118.06559 33.78178 4570
s493 -118.01267 33.8604 4571
s505 -117.69307 34.33165 4572
s507 -117.63946 34.41012 4573
s510 -118.04497 33.72038 4574
s512 -117.99206 33.79899 4575
s514 -117.93905 33.87758 4576
s516 -117.88595 33.95615 4577
s518 -117.83275 34.0347 4578
s520 -117.77945 34.11322 4579
s522 -117.72606 34.19172 4580
s524 -117.67257 34.2702 4581
s526 -117.61898 34.34865 4582
s528 -117.56529 34.42708 4583
s531 -117.97148 33.73758 4584
s541 -117.70557 34.13027 4585
s545 -117.59853 34.28718 4586
s547 -117.54485 34.36561 4587
s550 -117.95093 33.67617 4588
s552 -117.89795 33.75474 4589
s554 -117.84489 33.83329 4590
s556 -117.79173 33.91182 4591
s558 -117.73847 33.99033 4592
s560 -117.68511 34.06881 4593
s562 -117.63165 34.14727 4594
s564 -117.5781 34.22571 4595
s566 -117.52445 34.30413 4596
s568 -117.4707 34.38252 4597
s586 -117.50408 34.24264 4598
s588 -117.45035 34.32102 4599
s591 -117.85698 33.63189 4600
s593 -117.80395 33.71042 4601
s595 -117.75082 33.78893 4602
s597 -117.6976 33.86742 4603
s599 -117.64428 33.94589 4604
s601 -117.59086 34.02433 4605
s603 -117.53735 34.10275 4295
s605 -117.48374 34.18115 4606
s607 -117.43002 34.25952 4607
s609 -117.37621 34.33787 4608
s624 -117.46342 34.11966 4609
